Year,Business (Main),Business (All),Status,Holding Name,Postcode,Field Group,Parent Field Name,Field Defined Name,Part Field Reference,Official Area ha,Map Sheet,NG Number,Field Number,Field Reference,Crop Group,Variety,Plan Reference,Job Reference,Actual Issued Date,Heading Category,Heading Type,Heading Group,Heading,Product Name,Sentinel MAPP,Application Area ha,Rate per Application Area ha,Working Area ha,Rate per Working Area ha,Quantity,Units,Crop Sequence
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Desiccation 25/6/2024,NF OSR Desiccation 25/6/2024 #01 Stubton,45483,Fixed Costs,Machinery Costs,Application,Application,Spray,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Flowering spray 9/4/2024,NF OSR Flowering spray 9/4/2024 #03 Stubton,45393,Variable Costs,Nutrition,Trace Elements,Trace Elements,Folex B,,22.44,2.713,22.44,2.713,60.886,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Flowering spray 9/4/2024,NF OSR Flowering spray 9/4/2024 #03 Stubton,45393,Variable Costs,Nutrition,Trace Elements,Trace Elements,Omex Folex Magnesium,,22.44,4.688,22.44,4.688,105.198,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Flowering spray 9/4/2024,NF OSR Flowering spray 9/4/2024 #03 Stubton,45393,Variable Costs,Pesticides,Fungicides,Fungicides,Amistar (18039),18039,22.44,0.734,22.44,0.734,16.468,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Flowering spray 9/4/2024,NF OSR Flowering spray 9/4/2024 #03 Stubton,45393,Variable Costs,Pesticides,Fungicides,Fungicides,Clayton Tuskar (19320),19320,22.44,0.507,22.44,0.507,11.375,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Flowering spray 9/4/2024,NF OSR Flowering spray 9/4/2024 #03 Stubton,45393,Fixed Costs,Machinery Costs,Application,Application,Spray,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Graminicide 29/8/2023,NF OSR Graminicide 29/8/2023 #04 Stubton,45192,Variable Costs,Nutrition,Trace Elements,Trace Elements,Crop Rooter Plus,,14.17,0.665,22.44,0.42,9.418,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Graminicide 29/8/2023,NF OSR Graminicide 29/8/2023 #04 Stubton,45192,Variable Costs,Pesticides,Herbicides,Herbicides,Fusilade Max (19013),19013,14.17,0.75,22.44,0.474,10.627,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Graminicide 29/8/2023,NF OSR Graminicide 29/8/2023 #04 Stubton,45192,Fixed Costs,Machinery Costs,Application,Application,Spray,,14.17,1,22.44,0.631,14.169,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR N1 11/1/2024,NF OSR N1 11/1/2024 #04 Stubton @ 320 L/ha,45310,Variable Costs,Nutrition,Fertiliser,Fertiliser,Yara N25:14.3so3,,22.44,312.99,22.44,312.99,7023.5,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR N1 11/1/2024,NF OSR N1 11/1/2024 #04 Stubton @ 320 L/ha,45310,Fixed Costs,Machinery Costs,Application,Application,Spray,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR N2 16/2/2024,NF OSR N2 16/2/2024 #04 Stubton @280L/ha,45360,Variable Costs,Nutrition,Fertiliser,Fertiliser,Yara N25:14.3so3,,22.44,273.866,22.44,273.866,6145.562,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR N2 16/2/2024,NF OSR N2 16/2/2024 #04 Stubton @280L/ha,45360,Fixed Costs,Machinery Costs,Application,Application,Spray,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Pod stick 10/6/2024,NF OSR Pod stick 10/6/2024 #01 Stubton,45463,Variable Costs,Pesticides,Adjuvants,Adjuvants,Pod-Stick,,22.44,0.914,22.44,0.914,20.517,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Pod stick 10/6/2024,NF OSR Pod stick 10/6/2024 #01 Stubton,45463,Fixed Costs,Machinery Costs,Application,Application,Spray,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Stem Extension Spray 27/2/2024,NF OSR Stem Extension Spray 27/2/2024 #06 Stubton,45360,Variable Costs,Nutrition,Trace Elements,Trace Elements,YaraVita Brassitrel Pro,,22.44,2.859,22.44,2.859,64.167,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Stem Extension Spray 27/2/2024,NF OSR Stem Extension Spray 27/2/2024 #06 Stubton,45360,Variable Costs,Pesticides,Fungicides,Fungicides,Aurelia (19350),19350,22.44,0.384,22.44,0.384,8.625,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF OSR Stem Extension Spray 27/2/2024,NF OSR Stem Extension Spray 27/2/2024 #06 Stubton,45360,Fixed Costs,Machinery Costs,Application,Application,Spray,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Slug pellets 31/7/2023,NF Slug pellets 31/7/2023 #19 Stubton 3rd pass,45183,Variable Costs,Pesticides,Molluscicides,Molluscicides,Menorexx (18842),18842,22.44,4.036,22.44,4.036,90.557,kg,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Slug pellets 31/7/2023,NF Slug pellets 31/7/2023 #19 Stubton 3rd pass,45183,Fixed Costs,Machinery Costs,Application,Application,Pellets Applied,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Spraying off 7/8/2023,NF Spraying off 7/8/2023 #06 Stubton + pellets,45167,Variable Costs,Pesticides,Adjuvants,Adjuvants,Aquascope,,22.44,0.189,22.44,0.189,4.243,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Spraying off 7/8/2023,NF Spraying off 7/8/2023 #06 Stubton + pellets,45167,Variable Costs,Pesticides,Herbicides,Herbicides,Motif (16509),16509,22.44,2.966,22.44,2.966,66.554,L,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Spraying off 7/8/2023,NF Spraying off 7/8/2023 #06 Stubton + pellets,45167,Variable Costs,Pesticides,Molluscicides,Molluscicides,Menorexx (18842),18842,22.44,4.036,22.44,4.036,90.557,kg,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Airfield,Airfield.B/05,B,22.44,SK8951,3169,75,Airfield,Rape Winter,LG Adeline,NF Spraying off 7/8/2023,NF Spraying off 7/8/2023 #06 Stubton + pellets,45167,Fixed Costs,Machinery Costs,Application,Application,Spray,,22.44,1,22.44,1,22.44,ha,1
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Cereal Grassweed 2/11/2023,NF Cereal Grassweed 2/11/2023 #01 Stubton,45245,Variable Costs,Pesticides,Adjuvants,Adjuvants,Aquascope,,18.84,0.189,18.84,0.189,3.562,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Cereal Grassweed 2/11/2023,NF Cereal Grassweed 2/11/2023 #01 Stubton,45245,Variable Costs,Pesticides,Adjuvants,Adjuvants,Biopower,,18.84,0.945,18.84,0.945,17.809,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Cereal Grassweed 2/11/2023,NF Cereal Grassweed 2/11/2023 #01 Stubton,45245,Variable Costs,Pesticides,Herbicides,Herbicides,Hatra (16190),16190,18.84,1.2,18.84,1.2,22.608,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Cereal Grassweed 2/11/2023,NF Cereal Grassweed 2/11/2023 #01 Stubton,45245,Variable Costs,Pesticides,Herbicides,Herbicides,Isolator (19762),19762,18.84,0.579,18.84,0.579,10.915,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Cereal Grassweed 2/11/2023,NF Cereal Grassweed 2/11/2023 #01 Stubton,45245,Variable Costs,Pesticides,Herbicides,Herbicides,Stomp Aqua (14664),,18.84,2.133,18.84,2.133,40.192,ha Dose,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Cereal Grassweed 2/11/2023,NF Cereal Grassweed 2/11/2023 #01 Stubton,45245,Variable Costs,Pesticides,Insecticides,Insecticides,Lambdastar (17406),17406,18.84,0.028,18.84,0.028,0.527,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Cereal Grassweed 2/11/2023,NF Cereal Grassweed 2/11/2023 #01 Stubton,45245,Fixed Costs,Machinery Costs,Application,Application,Spray,,18.84,1,18.84,1,18.84,ha,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Nufol 31/5/2024,NF Nufol 31/5/2024 #02 Stubton,45463,Variable Costs,Nutrition,Fertiliser,Fertiliser,Nufol,,18.84,0.21,18.84,0.21,3.962,m3,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Nufol 31/5/2024,NF Nufol 31/5/2024 #02 Stubton,45463,Fixed Costs,Machinery Costs,Application,Application,Spray,,18.84,1,18.84,1,18.84,ha,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Slug pellets 31/7/2023,NF Slug pellets 31/7/2023 #04 Stubton,45147,Variable Costs,Pesticides,Molluscicides,Molluscicides,Ferrex (19138),19138,18.84,4.342,18.84,4.342,81.794,kg,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Slug pellets 31/7/2023,NF Slug pellets 31/7/2023 #04 Stubton,45147,Fixed Costs,Machinery Costs,Application,Application,Pellets Applied,,37.68,1,18.84,2,37.68,ha,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Slug pellets 31/7/2023,NF Slug pellets 31/7/2023 #32 Stubton x-ecute,45231,Variable Costs,Pesticides,Molluscicides,Molluscicides,X-ecute (18536),18536,18.84,3.96,18.84,3.96,74.614,kg,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Slug pellets 31/7/2023,NF Slug pellets 31/7/2023 #32 Stubton x-ecute,45231,Fixed Costs,Machinery Costs,Application,Application,Pellets Applied,,18.84,1,18.84,1,18.84,ha,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Spraying off 7/8/2023,NF Spraying off 7/8/2023 #17 Stubton + pellets,45202,Variable Costs,Pesticides,Herbicides,Herbicides,Roundup Powermax (16373),16373,18.84,1.5,18.84,1.5,28.26,kg,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Spraying off 7/8/2023,NF Spraying off 7/8/2023 #17 Stubton + pellets,45202,Variable Costs,Pesticides,Molluscicides,Molluscicides,Menorexx (18842),18842,18.84,4.497,18.84,4.497,84.717,kg,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Wheat N2 15/2/2024,NF Wheat N2 15/2/2024 #05 Stubton @ 285L/ha,45371,Variable Costs,Nutrition,Fertiliser,Fertiliser,Nuram N35s,,18.84,0.283,18.84,0.283,5.338,m3,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Wheat N2 15/2/2024,NF Wheat N2 15/2/2024 #05 Stubton @ 285L/ha,45371,Fixed Costs,Machinery Costs,Application,Application,Spray,,18.84,1,18.84,1,18.84,ha,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Wheat T0 4/3/2024,NF Wheat T0 4/3/2024 #04 Stubton,45377,Variable Costs,Nutrition,Trace Elements,Trace Elements,Mn Super,,18.84,0.513,18.84,0.513,9.666,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Wheat T0 4/3/2024,NF Wheat T0 4/3/2024 #04 Stubton,45377,Variable Costs,Nutrition,Trace Elements,Trace Elements,Yara Crop Boost,,18.84,2.946,18.84,2.946,55.512,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Wheat T0 4/3/2024,NF Wheat T0 4/3/2024 #04 Stubton,45377,Variable Costs,Pesticides,Fungicides,Fungicides,Iodus (19163),19163,18.84,0.744,18.84,0.744,14.022,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Wheat T0 4/3/2024,NF Wheat T0 4/3/2024 #04 Stubton,45377,Variable Costs,Pesticides,Fungicides,Fungicides,Zonor (18650),18650,18.84,0.491,18.84,0.491,9.251,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Wheat T0 4/3/2024,NF Wheat T0 4/3/2024 #04 Stubton,45377,Variable Costs,Pesticides,Growth Regulators,Growth Regulators,Stabilan 750 (09303),9303,18.84,0.972,18.84,0.972,18.318,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Wheat T0 4/3/2024,NF Wheat T0 4/3/2024 #04 Stubton,45377,Variable Costs,Pesticides,Growth Regulators,Growth Regulators,Trinexis (16429),16429,18.84,0.1,18.84,0.1,1.889,L,2
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Completed Not Confirmed,Nocton Farms,LN4 2AB,Stubton Farm Block,Balloon Field,Balloon Field.B/06,B,18.84,SK8849,764,75,Balloon Field,Wheat Winter,Crusoe,NF Wheat T0 4/3/2024,NF Wheat T0 4/3/2024 #04 Stubton,45377,Variable Costs,Pesticides,Herbicides,Herbicides,Kipota (17993),17993,18.84,0.229,18.84,0.229,4.315,L,2
