Year,Business (Main),Business (All),Holding Name,Postcode,Field Group,Parent Field Name,Field Defined Name,Part Field Reference,Official Area ha,Map Sheet,NG Number,Field Number,Field Reference,Crop Group,Variety,Cropping Record Active,Crop Reference,Crop Residue,Crop End Use,Crop Sequence,Working Area ha,Target Yield,Target Yield Units,Total Yield
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Long Field (Stubton),Long Field (Stubton).B,B,30.88,SK8850,4818,228,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,30.88,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Middle Field,Middle Field.C,C,22.02,SK8750,9738,236,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,22.02,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Middle Field,Middle Field.C,C,22.02,SK8750,9738,236,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,22.02,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Modder,Modder.C,C,13.42,SK8848,6325,240,,Rye Winter,KWS Tayo,Yes,,Removed,Any Use,1,13.42,8,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,North 20ac,North 20ac.B,B,7.26,SK8951,294,247,North 20ac,Rape Winter,LG Adeline,Yes,,Incorporated/None,Any Use,1,7.26,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,North Field,North Field.B,B,30.92,SK8851,3826,249,,Rape Winter,LG Adeline,Yes,,Incorporated/None,Any Use,1,30.92,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Popular Field,Popular Field.B,B,6.45,SK8848,7180,259,,Maize Forage,Resolute,Yes,,Removed,Any Use,1,6.45,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Rectory,Rectory.B,B,17.33,SK8748,6143,262,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,17.33,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Rectory,Rectory.B,B,17.33,SK8748,6143,262,,Wheat Winter,KWS Extase,Yes,,Incorporated/None,Any Use,2,17.33,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Rookery,Rookery.B,B,13.34,SK8749,9194,264,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,13.34,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Rookery,Rookery.B,B,13.34,SK8749,9194,264,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,13.34,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,South Yard Field,South Yard Field.B,B,14.78,SK8848,3851,282,,Rye Winter,KWS Tayo,Yes,,Removed,Forage,1,14.78,8,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,South Yard Field,South Yard Field.D,D,4.25,SK8848,3851,282,,Barley Spring,Laureate,Yes,,Removed,Any Use,1,4.25,7,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Stack Field,Stack Field.B,B,3.74,SK8848,4586,286,,Sugar Beet,Button,Yes,,Incorporated/None,Any Use,1,3.74,80,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,The Park,The Park.B,B,16.45,SK8748,8898,301,,Maize Forage,Resolute,Yes,,Removed,Any Use,1,16.45,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Village Field,Village Field.B,B,9.44,SK8850,3266,315,,EFA Green Cover,GFP Special Mix 22,Yes,,Incorporated/None,Any Use,1,9.44,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Village Field,Village Field.B,B,9.44,SK8850,3266,315,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,9.44,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Warren,Warren.B,B,13.27,SK8948,331,322,,Wheat Spring,Nissaba,Yes,,Removed,Any Use,1,13.27,9,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Wedding Field,Wedding Field.B,B,5.9,SK8849,7054,323,,EFA Green Cover,GFP Special Mix 22,Yes,,Removed,Any Use,1,5.9,0,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Wedding Field,Wedding Field.B,B,5.9,SK8849,7054,323,,Wheat Winter,Crusoe,Yes,,Incorporated/None,Any Use,2,5.9,10,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Widnes,Widnes.B,B,27.5,SK9050,418,325,,Maize Forage,Resolute,Yes,,Removed,Any Use,1,27.5,40,t,0
2024,Beeswax Dyson Farming Ltd,Beeswax Dyson Farming Ltd,Nocton Farms,LN4 2AB,Stubton Farm Block,Wood Field,Wood Field.B,B,10.75,SK8949,1663,327,,Sugar Beet,Button,Yes,,Incorporated/None,Any Use,1,10.75,80,t,0
,,,,,,,,,,,,,,,,,,,,,808.48,,,
